product_id,name,category,base_price,base_demand
1,Leche entera 1L,Lácteos,0.99,80
2,Yogur natural pack-4,Lácteos,1.49,60
3,Queso manchego 250g,Lácteos,3.2,35
4,Pan de molde,Panadería,1.1,70
5,Croissants x6,Panadería,2.1,40
6,Baguette,Panadería,0.8,55
7,Manzana kg,Frutas,1.8,50
8,Naranja kg,Frutas,1.2,45
9,Plátano kg,Frutas,1.5,65
10,Tomate kg,Verduras,1.9,48
11,Lechuga,Verduras,0.9,42
12,Pimiento rojo kg,Verduras,2.3,30
13,Pechuga pollo 500g,Carnes,3.5,55
14,Carne picada 400g,Carnes,4.2,45
15,Lomo de cerdo 500g,Carnes,4.8,30
16,Agua mineral 1.5L,Bebidas,0.5,100
17,Refresco cola 2L,Bebidas,1.6,70
18,Zumo naranja 1L,Bebidas,1.8,55
19,Cerveza pack-6,Bebidas,4.5,40
20,Patatas fritas 150g,Snacks,1.3,60
21,Aceite oliva 1L,Despensa,4.9,25
22,Arroz largo 1kg,Despensa,1.2,35
23,Pasta espagueti 500g,Despensa,0.9,40
24,Detergente ropa 3L,Limpieza,6.5,20
25,Papel higiénico x12,Higiene,3.8,30
